Date,Open,High,Low,Vol.,MAD,Price,BuySell
2015-06-08,223.5,229.9,223.0,74150.0,226.37000000000003,226.21257476328213,Pass
2015-06-12,229.9,231.6,229.3,40750.0,227.07,228.98989462093812,Pass
2015-06-14,232.5,235.5,232.1,32900.0,228.72000000000003,233.08176858402777,Sell
2015-06-18,247.4,251.9,242.5,78140.0,236.76999999999998,245.28369187464367,Pass
2015-06-19,248.4,250.8,243.6,84700.0,238.21999999999997,244.25373336362205,Pass
2015-06-21,245.0,246.0,240.9,25150.0,241.26,241.6772068027377,Pass
2015-06-22,244.1,248.6,243.2,47590.0,242.95999999999998,245.38319604544648,Pass
2015-06-23,247.5,247.7,242.3,38430.0,244.09,242.4343386158081,Pass
2015-06-25,240.6,243.6,239.3,40360.0,245.32999999999998,240.58473209858522,Buy
2015-06-26,242.6,243.5,240.1,37620.0,244.64000000000001,239.95292873581664,Pass
2015-06-27,242.9,251.6,241.8,54700.0,244.97000000000003,247.80449885510936,Sell
2015-06-29,248.9,257.5,248.0,92640.0,246.31000000000003,252.73921669257575,Pass
2015-06-30,257.0,268.7,255.4,116530.0,248.22000000000003,262.49039833607054,Pass
2015-07-03,254.9,256.7,252.4,36580.0,251.47000000000003,252.96500185057576,Pass
2015-07-05,260.5,274.1,257.6,48450.0,256.21000000000004,268.7948694442324,Pass
2015-07-10,269.1,297.9,266.9,117170.0,265.51,289.94631240939947,Pass
2015-07-11,283.6,298.8,282.3,46490.0,268.95,294.09264233880907,Pass
2015-07-12,292.0,315.9,291.3,120700.0,274.5,308.8096027440643,Pass
2015-07-14,290.4,297.0,285.2,60620.0,280.65,290.3519298371434,Pass
2015-07-15,287.0,292.9,283.2,59580.0,281.98,287.284171977462,Pass
2015-07-20,273.2,278.9,271.8,46600.0,284.43,275.45486136982197,Buy
2015-07-23,276.5,277.9,274.5,35660.0,277.86,274.55281053615954,Pass
2015-07-24,275.5,289.8,274.3,74360.0,278.0,284.8822888488068,Sell
2015-07-25,288.4,291.2,284.7,41650.0,278.53000000000003,286.30299731748,Pass
2015-07-27,291.8,295.8,285.4,69710.0,281.39,288.42543232324346,Pass
2015-07-30,288.4,289.9,284.9,44790.0,285.81,285.2922458680478,Pass
2015-07-31,287.0,288.7,280.8,49210.0,286.66999999999996,282.38385077166987,Buy
2015-08-01,283.7,284.5,276.3,39430.0,287.07,277.8750440284117,Pass
2015-08-02,280.5,282.5,275.9,35670.0,287.65999999999997,277.64561866753604,Pass
2015-08-03,281.4,285.0,278.9,45890.0,286.97999999999996,280.98192168135864,Pass
2015-08-06,281.7,282.0,276.5,33260.0,284.03,276.90771362962676,Pass
2015-08-08,277.9,278.9,257.4,82540.0,279.46999999999997,263.26195477611424,Pass
2015-08-12,269.0,271.5,263.7,56730.0,272.6,265.65689148524723,Pass
2015-08-14,263.4,267.2,260.2,52330.0,268.85,262.69465062779835,Pass
2015-08-15,265.0,266.5,259.4,38910.0,266.73,261.018173230116,Pass
2015-08-16,260.5,261.9,254.6,69040.0,264.64,255.53024410994487,Pass
2015-08-17,257.1,259.9,252.9,47880.0,262.56,255.03139234396718,Pass
2015-08-19,246.7,247.9,214.3,245820.0,257.58000000000004,221.18221373679495,Pass
2015-08-20,226.0,238.0,225.5,90980.0,254.71999999999997,234.0503007727167,Pass
2015-08-21,234.7,236.3,230.5,57650.0,251.06,231.594100467932,Pass
2015-08-23,229.5,232.7,224.3,48840.0,243.57999999999998,227.47904274758756,Pass
2015-08-24,226.8,228.4,207.8,196700.0,238.21999999999997,211.12266239767237,Pass
2015-08-25,211.4,226.6,196.3,190790.0,234.21999999999997,210.97586493070887,Pass
2015-08-27,225.0,228.4,222.0,60250.0,227.57000000000002,224.02108681375483,Pass
2015-08-31,228.4,231.8,224.2,54510.0,225.39000000000001,226.74242115542606,Pass
2015-09-02,227.2,230.6,225.6,58770.0,225.34,227.0297303704398,Pass
2015-09-03,228.6,229.6,225.4,54150.0,226.82,225.38283353232868,Pass
2015-09-06,233.7,243.6,234.7,66270.0,230.39000000000001,240.81213427613332,Sell
2015-09-07,239.9,242.7,237.5,57190.0,231.19,238.56695421204896,Pass
2015-09-11,238.1,241.0,237.4,45770.0,235.69,238.3110494679018,Pass
2015-09-14,230.2,232.6,226.0,61100.0,236.75,227.65200153456973,Buy
2015-09-15,229.9,242.8,228.0,49520.0,236.33,238.66675784653583,Pass
2015-09-17,228.6,235.2,227.9,56060.0,234.51,232.1468136577395,Pass
2015-09-20,231.1,232.7,229.9,33150.0,232.08,230.26597124074547,Pass
2015-09-22,226.3,233.2,224.1,71550.0,230.16000000000003,228.8042655788856,Pass
2015-09-23,230.0,232.2,228.5,43600.0,230.12999999999997,229.2621661455486,Pass
2015-09-25,233.8,237.6,232.7,61580.0,231.07,234.23792623943177,Sell
2015-09-26,235.0,235.7,232.7,40290.0,231.64000000000001,232.41228203810937,Pass
2015-09-27,234.3,234.8,231.8,36140.0,231.62000000000003,231.5346476602294,Pass
2015-09-28,232.5,240.4,232.4,64280.0,232.28999999999996,237.2880555839041,Pass
2015-10-02,237.1,238.4,235.1,47940.0,235.07999999999998,235.07337282071552,Pass
2015-10-03,236.7,239.5,236.1,43310.0,235.95,237.0394876393848,Pass
2015-10-06,240.1,247.6,239.4,78840.0,238.08999999999997,243.73255001508346,Pass
2015-10-07,246.1,247.3,241.6,62600.0,239.13999999999996,241.97498938089495,Pass
2015-10-09,242.6,244.6,241.3,40570.0,240.24,241.81353513684323,Pass
2015-10-12,247.6,248.0,244.6,40390.0,243.10999999999999,244.2724350493619,Pass
2015-10-13,245.4,251.2,243.1,74880.0,244.13000000000002,246.61835416632454,Pass
